subject,mag_prec,mag_noise3,riskprec_sym,riskprec_coin,riskprec_pool,risknoise_sym,risknoise_coin,risknoise_pool,rnp_sym,rnp_coin,rnp_pool,npc1_right_sd,npc1_left_sd,npc1_right_r,npc1_left_r
1,3.46227,0.20423,5.99275,3.45,3.97,0.11799,0.205,0.178,0.56935,0.46163,0.50808,1.44626,1.70758,0.218,0.233
2,3.4251,0.20645,5.37317,4.28,4.85,0.1316,0.165,0.146,0.54841,0.57844,0.56608,2.46684,2.43469,0.215,0.281
3,2.69401,0.26247,1.5123,1.24,1.26,0.46757,0.569,0.559,0.19108,0.17131,0.17079,4.00957,3.7523,0.01,0.119
4,2.37278,0.29801,4.23676,3.01,3.33,0.1669,0.235,0.212,0.58157,0.46852,0.52191,2.26915,2.1228,0.1,0.09
5,2.63306,0.26855,2.21593,2.09,2.07,0.3191,0.339,0.342,0.66227,0.58513,0.62713,3.31289,3.41079,0.015,0.161
6,2.73506,0.25853,1.3618,1.48,1.35,0.51924,0.478,0.524,0.38354,0.40807,0.397,2.72769,1.97817,0.158,0.213
7,2.87581,0.24588,2.0997,1.31,1.62,0.33677,0.539,0.436,0.30065,0.17363,0.24191,1.28614,1.80755,0.291,0.166
8,3.27792,0.21572,4.57425,3.51,3.88,0.15458,0.202,0.182,0.64327,0.59742,0.61959,2.28744,2.01055,0.229,0.201
9,2.61883,0.27001,2.52965,2.3,2.32,0.27953,0.307,0.305,0.32663,0.36996,0.34623,2.71426,3.59492,0.28,0.154
10,2.58369,0.27368,5.56854,3.32,4.14,0.12698,0.213,0.171,0.5664,0.51907,0.54076,2.71755,2.66411,-0.035,-0.065
11,3.32932,0.21239,3.83205,2.8,3.25,0.18452,0.252,0.218,0.33897,0.32979,0.33352,2.43794,1.83313,0.195,0.253
12,3.57402,0.19785,2.43421,1.66,1.9,0.29049,0.425,0.373,0.57932,0.66527,0.62427,1.61228,1.88097,0.186,0.186
13,2.80873,0.25175,5.96432,3.11,3.69,0.11856,0.227,0.192,0.5447,0.38641,0.45902,3.36303,3.63734,-0.022,-0.104
14,2.63498,0.26835,3.4264,2.32,2.68,0.20637,0.305,0.264,0.27812,0.29933,0.28677,2.95442,3.43728,0.131,0.112
15,3.44195,0.20544,3.62517,3.33,2.98,0.19505,0.212,0.237,0.39568,0.55049,0.46901,2.33772,1.57042,0.173,0.133
16,3.25439,0.21728,5.29801,3.2,3.87,0.13347,0.221,0.183,0.45738,0.5188,0.48858,1.98327,1.77783,0.464,0.494
17,2.66803,0.26503,3.41662,2.99,3.24,0.20696,0.237,0.218,0.34388,0.35077,0.34856,3.42186,3.44648,0.223,0.099
18,3.0979,0.22825,4.83172,2.77,3.87,0.14635,0.255,0.183,0.32607,0.27041,0.30004,2.05477,2.51627,0.19,0.145
19,2.33804,0.30244,5.21556,3.81,4.38,0.13558,0.186,0.161,0.54338,0.43244,0.4819,1.87581,2.28167,0.249,0.182
20,2.47637,0.28554,4.62603,4.18,4.51,0.15285,0.169,0.157,0.536,0.49329,0.51437,2.50826,1.93099,0.161,0.07
21,4.0572,0.17428,5.95363,4.24,4.98,0.11877,0.167,0.142,0.48127,0.51302,0.49736,2.8075,2.44027,0.17,0.199
22,3.38803,0.20871,2.72185,3.18,2.93,0.25979,0.223,0.241,0.27122,0.32465,0.29845,2.44104,2.12678,0.29,0.336
23,3.81616,0.18529,4.46875,3,3.49,0.15823,0.236,0.203,0.57706,0.62511,0.60227,3.09008,3.12631,0.018,0.12
24,2.23291,0.31668,2.42738,0.961,1.22,0.2913,0.736,0.579,0.19945,0.13171,0.1451,1.83343,3.03372,0.263,0.231
25,3.52385,0.20066,3.08554,1.56,1.94,0.22917,0.455,0.364,0.30193,0.27758,0.28949,3.02078,2.87621,0.194,0.24
26,3.39111,0.20852,3.18717,2.75,2.75,0.22186,0.257,0.257,0.54143,0.43119,0.48102,2.42412,2.21403,0.233,0.174
27,2.70204,0.26169,3.19475,2.47,2.77,0.22133,0.286,0.256,0.40743,0.37966,0.39674,1.8005,3.32067,0.254,0.256
28,1.89153,0.37383,1.9909,2.36,2.12,0.35517,0.3,0.333,0.43757,0.40472,0.42185,3.7881,4.94326,0.027,-0.073
29,2.3735,0.29792,3.23978,2.93,3.1,0.21826,0.242,0.228,0.42673,0.40536,0.41793,3.611,2.42406,-0.071,-0.091
30,2.45109,0.28849,5.74745,2.96,3.76,0.12303,0.239,0.188,0.58869,0.53767,0.56059,3.10574,3.15899,0.245,0.074
31,3.55717,0.19878,2.91742,2.4,2.51,0.24237,0.294,0.281,0.4202,0.34565,0.3794,3.29487,2.34945,0.2,0.286
32,2.84313,0.24871,2.2648,2.25,2.15,0.31222,0.314,0.329,0.34735,0.40839,0.37571,2.92964,2.69113,0.189,0.146
33,3.14502,0.22483,2.91595,2.55,2.65,0.2425,0.277,0.266,0.49945,0.51257,0.50774,2.59117,2.94529,0.156,0.243
34,2.77228,0.25506,4.70736,3.11,3.14,0.15021,0.228,0.225,0.53488,0.34562,0.43458,1.94521,1.51647,0.192,0.111
35,3.55122,0.19912,5.86603,2.82,3.39,0.12054,0.251,0.209,0.63454,0.49722,0.55977,2.99154,2.56124,0.206,0.268
36,3.81072,0.18556,5.0276,2.96,3.64,0.14065,0.239,0.194,0.41024,0.41238,0.41236,3.41289,3.02402,0.13,0.234
37,3.92391,0.1802,2.59826,2.73,2.61,0.27215,0.259,0.271,0.44365,0.42476,0.43752,2.33524,0.97376,0.203,0.158
38,3.44614,0.20519,1.61991,1.29,1.19,0.43651,0.548,0.594,0.16817,0.24328,0.18061,2.47589,2.33948,0.275,0.25
39,2.58235,0.27382,0.75993,1.02,0.793,0.93049,0.694,0.892,0.19983,0.19002,0.1786,1.26287,2.47424,0.265,0.199
40,3.33424,0.21207,4.18101,3.17,3.44,0.16912,0.223,0.205,0.54523,0.50066,0.51814,2.91446,2.48246,0.081,0.143
41,3.05569,0.23141,5.29138,2.84,3.59,0.13363,0.249,0.197,0.43783,0.44547,0.44372,2.38551,2.89855,0.102,0.122
42,3.59698,0.19658,5.97987,2.9,3.67,0.11825,0.244,0.193,0.56709,0.49584,0.52555,3.80306,2.84779,0.043,-0.061
43,3.89981,0.18132,2.88483,3.21,3.01,0.24511,0.22,0.235,0.32744,0.35012,0.33932,2.29397,2.77782,0.203,0.178
44,2.84308,0.24871,5.39295,4.35,4.78,0.13112,0.163,0.148,0.54181,0.45444,0.49497,2.15992,2.14076,0.059,0.129
45,2.75982,0.25621,0.34048,0.0649,0.109,2.07682,10.9,6.49,0.45203,0.00997,0.15199,1.6386,2.24199,0.296,0.273
46,3.46493,0.20408,3.06014,2.03,2.35,0.23107,0.349,0.302,0.36801,0.32949,0.34873,1.33777,1.33701,0.288,0.317
47,2.99784,0.23587,4.86588,3.48,4.18,0.14532,0.203,0.169,0.37367,0.39349,0.38469,3.52077,3.42043,0.148,0.104
48,3.29802,0.2144,4.97174,3.06,3.67,0.14223,0.231,0.193,0.45569,0.37287,0.40992,3.0078,3.10122,-0.171,0.024
49,3.01291,0.23469,2.35271,1.9,2.05,0.30055,0.373,0.345,0.3359,0.26146,0.29846,2.41853,3.94964,0.23,0.169
50,2.73687,0.25836,5.0417,3.01,3.75,0.14025,0.235,0.189,0.50173,0.50848,0.50467,3.51223,3.38131,0.006,0.048
51,2.68997,0.26287,3.01444,3.99,3.4,0.23457,0.177,0.208,0.52612,0.49362,0.51247,3.06006,2.9676,0.254,0.293
52,2.74742,0.25737,2.1539,1.09,1.22,0.32829,0.651,0.58,0.67602,0.24947,0.46375,3.36369,2.74676,0.022,0.053
53,2.18639,0.32341,1.66044,0.433,0.979,0.42586,1.63,0.722,0.07283,0.00032,0.02099,3.12986,3.23509,0.055,0.057
54,4.21712,0.16768,5.4215,3.37,4.07,0.13043,0.21,0.174,0.49083,0.44257,0.46628,1.04433,1.10911,0.436,0.375
55,2.94378,0.2402,3.9876,2.84,3.28,0.17733,0.249,0.216,0.52215,0.51235,0.51676,2.0529,2.16072,0.144,0.077
56,4.08368,0.17315,5.38804,3.44,4.13,0.13124,0.206,0.171,0.40725,0.33409,0.36729,1.55486,1.09106,0.379,0.343
57,3.04699,0.23207,3.33944,2.98,3.12,0.21174,0.237,0.227,0.44811,0.44038,0.44559,1.85665,2.44401,0.045,0.096
58,3.77007,0.18756,4.46379,3.62,3.7,0.15841,0.196,0.191,0.62197,0.50647,0.56057,1.45286,2.11055,0.162,0.29
59,1.45339,0.48652,1.58677,0.709,0.987,0.44563,0.998,0.716,0.12417,0.03709,0.07023,1.94037,2.86913,0.021,0.138
60,3.87092,0.18267,5.39212,3.4,3.45,0.13114,0.208,0.205,0.5422,0.37187,0.44648,1.76506,2.01107,0.381,0.341
61,2.8612,0.24714,3.37856,2.08,2.61,0.20929,0.34,0.271,0.34048,0.29223,0.31923,2.09729,1.61096,0.264,0.293
62,2.86292,0.24699,4.22899,4.66,4.42,0.1672,0.152,0.16,0.58755,0.64172,0.61015,3.05818,2.29656,0.125,0.15
63,2.95309,0.23945,4.30875,2.96,3.48,0.16411,0.239,0.203,0.37276,0.3822,0.37979,2.99227,3.3353,0.139,0.134
64,2.81812,0.25091,1.9689,2.32,2.1,0.35914,0.304,0.337,0.22387,0.20472,0.2124,2.02173,1.8282,0.19,0.078
